from_stop_id,to_stop_id,transfer_type,min_transfer_time
1759,1956,2,600
1793,7920966,2,234
4037259,2521,2,282
1793,7920965,2,237
1951,3926338,2,208
7899456,2377,2,217
2072,7170691,2,212
2377,1647,2,130
1958,2235,2,420
7899418,2310,2,235
2089,6869762,2,207
1746,5747220,2,206
6591780,2125,2,216
1675,1674,2,111
2126,2213,2,137
1746,5747219,2,206
2126,1958,2,97
2077,2213,2,134
2017,7153055,2,264
7176293,2206,2,197
2017,7153054,2,247
1746,4036966,2,206
1746,4036967,2,206
2294,7931520,2,234
2076,4036979,2,193
2076,4036978,2,199
2112,7921126,2,216
2112,7921125,2,209
1675,1676,2,110
1793,7946204,2,242
1793,7920963,2,227
1793,7946205,2,222
1793,7920964,2,227
2377,967988,2,180
7899528,2297,2,205
2377,967989,2,180
7899456,1767,2,217
2076,7945891,2,210
2076,4037048,2,254
2287,5944524,2,202
2125,4035731,2,223
2125,4035730,2,223
2125,8007358,2,208
2125,8007357,2,193
2063,2111,2,100
1891,4035564,2,218
3731630,2287,2,193
1951,7920836,2,263
2112,4044994,2,217
7931499,1951,2,208
1901,4035818,2,243
2112,4044993,2,197
1891,5747217,2,193
2424,4036967,2,206
1891,5747218,2,202
7899415,1767,2,256
2424,4036966,2,206
7946087,2125,2,199
2125,7932142,2,223
2213,5018143,2,282
1767,7931568,2,217
7946080,2485,2,196
1675,7991824,2,402
1951,7920837,2,263
1675,7991823,2,268
2125,7932141,2,187
2310,2311,2,110
1951,7920975,2,279
7981231,2089,2,212
1898,7931520,2,234
3343778,1767,2,180
2206,7920975,2,279
7899555,1675,2,220
1932,4035546,2,197
3343786,2112,2,180
1932,4035547,2,207
2206,8321656,2,245
7946078,2485,2,387
7899555,2485,2,220
2125,7931571,2,199
2112,4037189,2,209
2112,4037187,2,195
2112,4037188,2,191
2294,4044989,2,234
2550,5150454,2,195
1843,7899591,2,243
2403,6251763,2,222
4471839,2403,2,234
1793,7991694,2,248
1793,7991693,2,237
2076,4035730,2,223
1793,7991692,2,234
2076,4035731,2,223
1793,7991691,2,242
2213,1910,2,420
2136,3926305,2,264
2089,6869663,2,207
2089,6869662,2,195
2206,3887817,2,245
2424,7647712,2,416
2550,8303770,2,210
1793,7921200,2,244
2550,8303771,2,207
1793,7991695,2,242
2136,3926304,2,247
1793,7991696,2,234
1958,7899133,2,274
1898,4044989,2,234
1958,7899131,2,235
2403,6251764,2,263
2121,3682086,2,212
2550,6869812,2,207
2424,7932197,2,376
2297,2296,2,225
2213,7991820,2,281
7946088,2125,2,190
2521,3926302,2,241
2125,7931518,2,190
1891,5944524,2,202
2521,3926303,2,231
2521,7153053,2,231
4037260,1951,2,208
2521,7153052,2,241
4471841,1951,2,208
1951,8321656,2,245
2297,2298,2,161
1793,7991689,2,244
4471735,2403,2,237
1793,7921212,2,225
7946134,1958,2,282
7946085,2125,2,236
2297,7899138,2,243
3343785,2063,2,180
2550,4035534,2,212
2550,4035535,2,203
7899410,1898,2,234
2257,7921024,2,210
2257,7921023,2,245
2063,7931817,2,216
2382,4036968,2,221
2063,7931816,2,215
2382,4036969,2,205
2063,7931815,2,228
4037259,1641,2,282
1766,2377,2,128
6591548,1767,2,229
1958,2212,2,124
7899416,1843,2,229
2089,4036936,2,212
2125,3747910,2,254
2089,4036935,2,212
2089,4614627,2,215
1767,7931522,2,207
2089,4614626,2,215
1891,4009092,2,193
2125,3747911,2,236
8007440,2424,2,373
1767,7931521,2,253
1793,3893369,2,242
2550,8007435,2,194
2550,8007436,2,222
1891,5944500,2,218
2125,3747909,2,199
2125,3747908,2,190
1898,7931569,2,197
1793,7931901,2,234
7899414,1767,2,243
1793,7931900,2,237
2403,7931898,2,242
2089,4614756,2,215
2403,7931899,2,234
2550,4117656,2,207
2550,4117655,2,210
1767,7170694,2,207
7931481,2206,2,232
7991685,2403,2,237
7981159,2089,2,203
1641,7931557,2,282
4037269,2294,2,197
2112,7931772,2,215
2112,7931771,2,205
1767,2527,2,105
2287,5944500,2,218
2076,7945909,2,190
1958,1957,2,161
2377,6591450,2,217
2213,4035729,2,205
6591780,2076,2,216
2121,7170691,2,212
2125,7945891,2,210
7946088,2076,2,190
3731629,1891,2,202
3343777,2377,2,180
2125,4036979,2,193
2125,4036978,2,199
1772,7898891,2,221
2403,4036787,2,263
1772,7898890,2,205
2403,4036786,2,222
2377,7931342,2,207
2063,2062,2,75
1958,3749677,2,217
2377,7932202,2,217
2112,7931562,2,195
2377,7931341,2,204
2076,4044988,2,198
2112,7931563,2,209
7931481,1951,2,232
4037264,2112,2,195
2485,7991823,2,268
1952,2206,2,169
2485,7991824,2,402
1901,4036972,2,269
2063,7964945,2,195
1901,4036973,2,205
2437,1956,2,600
1958,7275140,2,282
2063,7964946,2,215
2089,3689920,2,208
1951,7931558,2,208
2287,4009048,2,202
2112,7900239,2,197
2287,4035564,2,218
4471839,1793,2,234
8007443,2287,2,202
2213,7899176,2,217
7899411,1898,2,197
1891,5944499,2,251
1793,7946163,2,222
1793,7946164,2,263
1793,7946161,2,242
1793,7946162,2,234
1891,4009048,2,202
2063,7964976,2,217
2403,1648,2,129
2063,7964975,2,228
1772,4035551,2,221
1772,4035552,2,205
2310,7899591,2,243
7981231,2550,2,212
2136,7921195,2,264
2063,7965033,2,195
2550,4889494,2,194
2136,7921194,2,247
2550,4889493,2,194
2063,7965031,2,215
2063,7965032,2,217
7946079,2485,2,207
2063,7965030,2,228
2076,5747233,2,254
2206,7176292,2,197
3343786,2063,2,180
7991697,2403,2,248
2076,5747232,2,208
7931499,2206,2,208
2076,7931518,2,190
2076,5747231,2,199
4471840,2521,2,231
2206,2211,2,600
2125,5018141,2,198
1793,7946353,2,209
2297,4035818,2,243
1793,7946355,2,234
2125,5018140,2,223
1793,7946354,2,209
7899412,2377,2,253
1958,8357852,2,217
1958,8357918,2,281
7946134,2213,2,282
2112,4459258,2,217
2089,6869812,2,207
2089,4035534,2,212
1793,7946356,2,242
2112,4459257,2,209
7946077,1675,2,399
2089,4035535,2,203
2076,5018140,2,223
2076,5018141,2,198
1958,1910,2,420
2121,3446769,2,259
2206,3887757,2,232
1793,7153059,2,263
2294,7931569,2,197
2112,7986280,2,216
1951,1956,2,600
1793,7153058,2,222
7991697,1793,2,248
2125,1954,2,55
2403,2528,2,118
2382,4035552,2,205
2125,1953,2,107
2382,4035551,2,221
6591842,1767,2,217
2121,3446767,2,194
2063,4036642,2,195
2063,4036643,2,191
2287,4009092,2,193
2257,3446763,2,198
2072,5944516,2,207
2072,5944515,2,207
7176293,1951,2,197
7946077,2485,2,399
6591842,2377,2,217
7931498,2521,2,282
2257,3446764,2,245
2121,3446770,2,274
2485,1676,2,127
2485,1674,2,116
2550,5747235,2,203
2076,7931571,2,199
2213,8357852,2,217
2377,7931372,2,217
1952,1951,2,145
6591779,2076,2,216
2077,1958,2,97
2377,7931373,2,231
1772,4036969,2,205
2213,3749677,2,217
1772,4036968,2,221
6591781,2076,2,254
2076,4035563,2,254
2076,4035562,2,208
2076,4035561,2,199
2112,7900448,2,195
2112,7900449,2,209
2121,3682024,2,194
2213,7899131,2,235
2072,5922192,2,274
2089,3689919,2,207
2213,7899133,2,274
2072,5922193,2,252
1901,1900,2,235
1958,3749738,2,281
2206,8136169,2,245
7899527,1675,2,274
1746,4035550,2,206
2382,5747222,2,205
2382,5747221,2,221
2247,7931415,2,240
2403,2404,2,90
2550,4889458,2,194
2247,7931416,2,243
2550,4889457,2,194
7899419,2310,2,232
1901,1902,2,174
7899528,1901,2,205
2112,7986278,2,209
7931498,1641,2,282
1766,1767,2,60
1793,1794,2,90
4471840,1641,2,231
2125,4037048,2,254
1951,7931532,2,197
7920961,2125,2,210
2076,8007358,2,208
1746,4035549,2,206
2076,8007357,2,193
4471841,2206,2,208
2125,4035817,2,254
2125,4035816,2,208
2125,4035815,2,208
2403,7946355,2,234
4037270,2125,2,193
2403,7946356,2,242
2121,5944515,2,207
2403,7946353,2,209
2485,2486,2,125
2403,7946354,2,209
1675,4035810,2,274
7931500,1951,2,245
2213,2235,2,420
2089,8007436,2,222
2485,2484,2,127
2089,8007435,2,194
2112,7964975,2,228
2403,3893369,2,242
2112,7964976,2,217
1922,7931416,2,243
1641,7153053,2,231
7946090,1958,2,217
1922,7931415,2,240
2377,7932163,2,204
2017,7921194,2,247
1641,7153052,2,241
2063,4037243,2,217
4471734,2521,2,241
2377,7931568,2,217
2121,5944516,2,207
2550,3798450,2,207
7899413,2377,2,207
2287,7568981,2,218
2550,4614627,2,215
1901,7899138,2,243
2403,3893371,2,234
2403,3893370,2,237
2550,3798449,2,210
2297,4036972,2,269
2403,7921212,2,225
4037264,2063,2,195
1675,4035809,2,196
2063,4037188,2,191
2213,4211804,2,282
2063,4037189,2,209
2063,4037187,2,195
2297,4036973,2,205
2310,1844,2,106
4037260,2206,2,208
1901,5747225,2,269
1675,4035806,2,399
2550,4614626,2,215
1675,4035807,2,387
1767,1647,2,120
2287,5944499,2,251
1675,4035808,2,207
2213,4045033,2,282
2550,6869571,2,195
3731629,2287,2,202
1793,7931899,2,234
2550,6869572,2,207
2076,3747908,2,190
2213,2212,2,145
2076,3747909,2,199
2403,7153059,2,263
2403,7153058,2,222
2403,7921200,2,244
2213,7275140,2,282
1793,7921198,2,237
1901,2298,2,166
2213,8357918,2,281
1901,2296,2,231
2521,7931557,2,282
6591548,2377,2,229
3343777,1767,2,180
1793,7931898,2,242
8007443,1891,2,202
1901,4035555,2,269
1901,4035556,2,205
1793,7921199,2,248
7899419,1843,2,232
8007444,2287,2,193
7899416,2310,2,229
4037268,1767,2,217
2125,4045034,2,192
2297,1900,2,229
7899418,1843,2,235
2213,7991796,2,217
2297,1902,2,168
2076,7932142,2,223
2076,7932141,2,187
2257,7985538,2,306
1793,3926337,2,248
2257,7985537,2,287
8007440,1746,2,373
2550,6869762,2,207
1843,2311,2,103
1891,4036964,2,193
2089,5150454,2,195
2076,3747910,2,254
2076,3747911,2,236
1891,4036965,2,202
2089,3798449,2,210
7899417,2310,2,198
2550,3688572,2,194
1958,4211804,2,282
2550,3688571,2,207
2112,7931528,2,217
1759,2211,2,600
2112,7931527,2,197
2403,3926309,2,225
2063,7931563,2,209
2063,7900239,2,197
2403,3926308,2,237
2063,7931562,2,195
7899411,2294,2,197
2072,4035566,2,194
1932,7985538,2,306
2206,7176395,2,197
4471734,1641,2,241
1932,7985537,2,287
1932,3446763,2,198
1932,3446764,2,245
7899417,1843,2,198
1958,4035729,2,205
1793,2404,2,90
2437,2211,2,600
2550,4614716,2,215
2550,4614715,2,215
2403,7931901,2,234
2403,7931900,2,237
7920961,2076,2,210
2112,7900241,2,217
2112,7986305,2,191
2112,7900240,2,209
2089,3798450,2,207
1675,2484,2,120
6591781,2125,2,254
7899527,2485,2,274
1767,967988,2,180
1767,967989,2,180
1675,2486,2,104
7920890,1958,2,217
2213,3749738,2,281
2257,7985516,2,306
2112,7900274,2,195
7899413,1767,2,207
1793,2528,2,162
2125,7945909,2,190
2089,4889493,2,194
2089,4889494,2,194
2377,6591526,2,229
2072,4035543,2,212
1843,1844,2,98
1767,6591450,2,217
1951,7921039,2,245
6591782,2297,2,243
1932,7985516,2,306
1958,4045033,2,282
1793,3926308,2,237
1793,3926309,2,225
1951,3887817,2,245
7899526,1675,2,268
2485,4035810,2,274
2089,4117656,2,207
2063,7986305,2,191
7991685,1793,2,237
6591779,2125,2,216
2089,4117655,2,210
4471735,1793,2,237
2121,5922192,2,274
2121,5922193,2,252
7946086,2125,2,254
6591782,1901,2,243
2017,7921195,2,264
2424,5747219,2,206
1958,5018143,2,282
2485,4035809,2,196
2550,6869663,2,207
1793,1648,2,126
2063,7900241,2,217
7899414,2377,2,243
2485,4035806,2,399
7899406,2213,2,282
2063,7900240,2,209
2485,4035807,2,387
2485,4035808,2,207
2112,2111,2,96
1951,7176395,2,197
1951,7176292,2,197
2207,2206,2,145
3343778,2377,2,180
2424,5747220,2,206
2550,6869662,2,195
2089,8303771,2,207
2089,6869572,2,207
2403,7932097,2,197
2089,5747235,2,203
2206,1956,2,600
1951,7153051,2,208
2089,8303770,2,210
2089,6869571,2,195
2063,7931528,2,217
2063,7900274,2,195
2063,7931527,2,197
2112,7931852,2,205
2206,7931558,2,208
2112,7921174,2,191
2076,2208,2,72
2076,4211806,2,223
1951,7153050,2,197
2112,7921173,2,205
1793,4036787,2,263
2076,2209,2,55
2076,4211807,2,223
1793,4036786,2,222
2207,1951,2,129
2125,5747233,2,254
2125,5747232,2,208
2125,7275143,2,193
2125,5747231,2,199
7981159,2550,2,203
2125,7275142,2,190
2089,3688571,2,207
1891,7568981,2,218
2089,3688572,2,194
7946078,1675,2,387
7946080,1675,2,196
2382,7898891,2,221
2382,7898890,2,205
2550,4614756,2,215
4037268,2377,2,217
1958,7991796,2,217
1932,3682020,2,215
2403,7946161,2,242
1932,3682021,2,245
7899663,1759,2,227
1958,7899176,2,217
2403,7946164,2,263
2403,7946163,2,222
2403,7946162,2,234
2063,7921126,2,216
2063,7921125,2,209
7920890,2213,2,217
2403,7921198,2,237
3731627,1746,2,373
2403,7921199,2,248
2076,4045034,2,192
2072,3682024,2,194
2121,4035566,2,194
2063,4044993,2,197
2287,5747217,2,193
2063,4044994,2,217
2287,5747218,2,202
2403,7932096,2,244
4037270,2076,2,193
2403,7932095,2,251
1767,7931341,2,204
2403,7932094,2,249
2063,7931852,2,205
1767,7931342,2,207
7899554,2297,2,269
2076,4035817,2,254
2076,4035816,2,208
2076,4035815,2,208
2550,3689919,2,207
1746,7932197,2,376
2206,7931532,2,197
2550,3689920,2,208
1793,3893370,2,237
2550,4036935,2,212
2550,4036936,2,212
1767,7932202,2,217
1951,3887757,2,232
2297,7899175,2,220
1793,3893371,2,234
7946087,2076,2,199
2089,4614715,2,215
2376,2377,2,153
2376,1767,2,79
4037269,1898,2,197
2089,4614716,2,215
1932,7921024,2,210
7946086,2076,2,254
1932,7921023,2,245
2089,4889458,2,194
2063,7986280,2,216
2089,4889457,2,194
1767,7931373,2,231
4037265,2112,2,209
1641,3926302,2,241
2063,4459258,2,217
1767,7931372,2,217
1641,3926303,2,231
2063,4459257,2,209
2213,1957,2,184
7899406,1958,2,282
7899663,2437,2,227
1772,5747222,2,205
1772,5747221,2,221
2125,4211807,2,223
4037265,2063,2,209
2125,4211806,2,223
2403,3926337,2,248
2424,4035549,2,206
2297,4035556,2,205
3731630,1891,2,193
2206,7921039,2,245
2403,1794,2,90
2297,4035555,2,269
2424,4035550,2,206
2297,5747225,2,269
2297,5747226,2,205
7946079,1675,2,207
2403,7920963,2,227
2377,7931521,2,253
2403,7920964,2,227
8007444,1891,2,193
2403,7920965,2,237
2403,7920966,2,234
2377,7931522,2,207
2072,3446770,2,274
2017,3926304,2,247
2076,1954,2,70
2076,1953,2,83
2017,3926305,2,264
1767,7932163,2,204
2136,7153055,2,264
2136,7153054,2,247
2403,7946204,2,242
2112,7931816,2,215
2112,7931815,2,228
1793,7932095,2,251
1951,8136169,2,245
2403,7946205,2,222
2112,7931817,2,216
1793,7932094,2,249
2206,7920837,2,263
7899554,1901,2,269
1793,7932097,2,197
1793,7932096,2,244
2206,7920836,2,263
2112,7965031,2,215
2112,7965030,2,228
2112,7965033,2,195
2063,7986278,2,209
2112,7965032,2,217
7899526,2485,2,268
2072,3446769,2,259
7946090,2213,2,217
1793,6251764,2,263
2072,3446767,2,194
1767,6591526,2,229
1793,6251763,2,222
2206,7153050,2,197
2206,7153051,2,208
7931500,2206,2,245
2403,7991689,2,244
2206,3926338,2,208
2125,4044988,2,198
2403,7991691,2,242
2112,2062,2,68
1901,7899175,2,220
7899415,2377,2,256
2257,4035547,2,207
2112,4036642,2,195
2403,7991696,2,234
2112,4036643,2,191
7899410,2294,2,234
2403,7991694,2,248
2403,7991695,2,242
2403,7991692,2,234
2403,7991693,2,237
2063,7900449,2,209
1746,7647712,2,416
2063,7900448,2,195
2112,4037243,2,217
2125,2208,2,99
3343785,2112,2,180
2125,2209,2,15
2377,2527,2,117
1901,5747226,2,205
2257,4035546,2,197
2063,7921174,2,191
2063,7921173,2,205
2257,3682021,2,245
7899412,1767,2,253
2063,7931771,2,205
2063,7931772,2,215
2076,7275143,2,193
2377,7170694,2,207
2076,7275142,2,190
2257,3682020,2,215
2112,7964945,2,195
2112,7964946,2,215
2287,4036965,2,202
2125,4035562,2,208
2125,4035561,2,199
1951,2211,2,600
2287,4036964,2,193
2125,4035563,2,254
7946085,2076,2,236
3731627,2424,2,373
2121,4035543,2,212
2072,3682086,2,212
1958,7991820,2,281
