from_stop_id,to_stop_id,transfer_type,min_transfer_time
1826,7945978,2,243
1984,7275655,2,209
7653685,1669,2,184
8321641,2101,2,211
7376288,2468,2,193
1826,7945974,2,440
1826,7945975,2,225
1826,7945976,2,211
1826,7945977,2,213
2477,5138183,2,226
1723,7931972,2,226
4037294,2526,2,238
7920949,2365,2,252
6408760,1870,2,207
2512,4037035,2,198
1723,1715,2,480
1826,1827,2,370
2308,7899181,2,235
4037277,1792,2,188
1826,1825,2,396
1743,7899183,2,195
7932232,1869,2,193
1743,7899184,2,210
8321706,2479,2,200
2279,7931438,2,267
2468,8357865,2,247
2468,8357863,2,108
2468,8357864,2,212
8007367,1723,2,254
1723,2469,2,149
8367322,2512,2,198
7653719,1669,2,279
1723,1724,2,141
2526,7931876,2,284
4009231,1870,2,218
2279,7931439,2,250
7932278,1982,2,202
2526,7931875,2,272
7932217,1646,2,199
2428,3813507,2,190
2428,3813506,2,208
1723,8135306,2,215
2428,4037029,2,202
7920918,1782,2,208
7920915,1826,2,434
1826,7376192,2,398
1826,4037037,2,219
1826,7376193,2,219
1826,7376190,2,225
5067574,1986,2,114
1826,7376191,2,398
3343763,1982,2,180
1782,2391,2,79
2477,7931799,2,207
2421,3750043,2,251
7931918,1906,2,232
4009272,2337,2,258
8007368,2468,2,252
2421,3750045,2,244
1723,7899182,2,108
1723,8135307,2,215
1743,7899371,2,195
2267,7931441,2,249
7920943,2174,2,209
2421,4035715,2,219
2421,4035714,2,210
2363,2365,2,108
7921324,1691,2,251
2267,7931440,2,186
7991682,1826,2,211
7931951,2465,2,254
2337,6682606,2,253
3813041,1842,2,200
2337,6682607,2,233
3343764,2172,2,180
2282,4035721,2,184
2468,1166840,2,180
2282,4035720,2,251
2365,3887778,2,280
2468,1166841,2,180
2365,3887779,2,252
8321642,2479,2,279
7932235,1723,2,254
7932228,2052,2,259
7275133,1883,2,225
1841,7899994,2,243
1841,7899993,2,260
1826,7991676,2,278
1826,7991677,2,211
7991806,2336,2,226
2174,4037032,2,209
2512,4473023,2,198
2455,7986319,2,198
1723,7921088,2,242
1723,7921089,2,203
4473147,2365,2,278
2421,7945899,2,198
7931746,1723,2,275
8321708,2052,2,223
1723,7899121,2,204
2365,3887780,2,248
1723,7899122,2,205
8367320,2501,2,185
7653682,2455,2,244
7920944,2501,2,185
7991680,2468,2,226
8321703,1667,2,218
7932220,1667,2,194
7920909,2526,2,238
1826,3887812,2,243
7920949,1826,2,252
7932217,2526,2,199
2468,5158082,2,241
6408777,2337,2,250
2468,5158081,2,226
1883,5018150,2,245
1883,5018151,2,225
7312132,1870,2,241
8321643,1669,2,227
4037289,2052,2,211
1826,4037001,2,252
1826,4037002,2,278
1792,2401,2,108
7932226,1669,2,184
1826,4037000,2,280
1723,4036748,2,196
1826,4037004,2,440
1723,4036747,2,210
1826,4037003,2,434
2468,4459239,2,226
1723,4036749,2,226
2468,4036660,2,254
2468,4036661,2,196
4022887,2172,2,222
1841,7899181,2,235
6408746,1870,2,250
2337,4473008,2,236
7932218,1646,2,190
7931918,2267,2,232
7899675,1982,2,211
2337,4473009,2,236
7653719,2101,2,259
2468,4459240,2,210
8321673,1710,2,244
1842,7922557,2,200
1750,4037029,2,202
2468,5158083,2,216
6408763,1870,2,262
2468,3749690,2,210
2468,3749691,2,252
2308,7900032,2,225
2468,3749689,2,212
1826,7899560,2,398
2468,3749688,2,108
2337,7920755,2,207
1826,7899562,2,219
1826,7899561,2,398
7932131,1886,2,251
1826,7899563,2,252
7920943,1984,2,209
6217417,1723,2,247
4037296,2365,2,280
2365,7376190,2,225
2365,7376191,2,398
7991806,1869,2,226
2365,7376192,2,398
2279,5018150,2,245
2365,7376193,2,219
1686,7899123,2,262
2279,5018151,2,225
1920,7931965,2,226
1686,7899124,2,245
7932238,1723,2,196
2468,7931972,2,226
2392,3887810,2,233
7920944,1691,2,185
7932237,2468,2,226
7920918,2392,2,208
1723,8357914,2,210
2365,4037037,2,219
3741063,1883,2,200
7932238,2468,2,196
2526,4036996,2,238
7920914,2365,2,278
2476,2477,2,57
2402,2401,2,122
4687336,2176,2,206
2337,7920773,2,279
1826,7275666,2,409
1826,7275665,2,434
1750,4473015,2,202
1826,7275664,2,406
2267,7932030,2,232
2337,7920775,2,322
2468,3893335,2,187
2468,3893336,2,187
7920909,1646,2,238
7931946,1720,2,208
1743,7945899,2,198
1669,7964962,2,279
1669,7964963,2,227
3741064,1883,2,208
1826,7991687,2,219
2309,7922557,2,200
7931950,1841,2,260
4473149,2365,2,405
1826,7991686,2,278
7932211,1826,2,406
5067573,2176,2,206
6408746,2337,2,250
7931718,2365,2,226
1723,8167113,2,226
8033034,1883,2,257
8321644,2455,2,211
7932213,1826,2,252
2308,3749685,2,197
2308,3749684,2,225
2468,1724,2,131
1826,4045007,2,398
7991810,1982,2,245
