service_id,date,exception_type
12773340,20191225,1
12773340,20191228,1
12773340,20200101,1
2773339,20191018,1
2773339,20191025,1
2773339,20191031,1
2773339,20191108,1
2773339,20191115,1
2773339,20191122,1
2773339,20191129,1
2773339,20191206,1
2773339,20191213,1
2773339,20191220,1
2773338,20191019,1
2773338,20191026,1
2773338,20191101,1
2773338,20191102,1
2773338,20191109,1
2773338,20191110,1
2773338,20191116,1
2773338,20191123,1
2773338,20191130,1
2773338,20191207,1
2773338,20191214,1
2773338,20191221,1
2773338,20191228,1
12773335,20191021,1
12773335,20191028,1
12773335,20191104,1
12773335,20191112,1
12773335,20191118,1
12773335,20191125,1
12773335,20191202,1
12773335,20191209,1
12773335,20191216,1
12773335,20191223,1
12773335,20191226,1
12773335,20191230,1
2773337,20191223,1
2773337,20191226,1
2773337,20191230,1
12773336,20191017,1
12773336,20191018,1
12773336,20191022,1
12773336,20191023,1
12773336,20191024,1
12773336,20191025,1
12773336,20191029,1
12773336,20191030,1
12773336,20191031,1
12773336,20191105,1
12773336,20191106,1
12773336,20191107,1
12773336,20191108,1
12773336,20191113,1
12773336,20191114,1
12773336,20191115,1
12773336,20191119,1
12773336,20191120,1
12773336,20191121,1
12773336,20191122,1
12773336,20191126,1
12773336,20191127,1
12773336,20191128,1
12773336,20191129,1
12773336,20191203,1
12773336,20191204,1
12773336,20191205,1
12773336,20191206,1
12773336,20191210,1
12773336,20191211,1
12773336,20191212,1
12773336,20191213,1
12773336,20191217,1
12773336,20191218,1
12773336,20191219,1
12773336,20191220,1
2773336,20191016,1
2773336,20191017,1
2773336,20191021,1
2773336,20191022,1
2773336,20191023,1
2773336,20191024,1
2773336,20191028,1
2773336,20191029,1
2773336,20191030,1
2773336,20191104,1
2773336,20191105,1
2773336,20191106,1
2773336,20191107,1
2773336,20191112,1
2773336,20191113,1
2773336,20191114,1
2773336,20191118,1
2773336,20191119,1
2773336,20191120,1
2773336,20191121,1
2773336,20191125,1
2773336,20191126,1
2773336,20191127,1
2773336,20191128,1
2773336,20191202,1
2773336,20191203,1
2773336,20191204,1
2773336,20191205,1
2773336,20191209,1
2773336,20191210,1
2773336,20191211,1
2773336,20191212,1
2773336,20191216,1
2773336,20191217,1
2773336,20191218,1
2773336,20191219,1
2773335,20191020,1
2773335,20191027,1
2773335,20191103,1
2773335,20191111,1
2773335,20191117,1
2773335,20191124,1
2773335,20191201,1
2773335,20191208,1
2773335,20191215,1
2773335,20191222,1
2773335,20191225,1
2773335,20191229,1
12773339,20191019,1
12773339,20191026,1
12773339,20191101,1
12773339,20191109,1
12773339,20191116,1
12773339,20191123,1
12773339,20191130,1
12773339,20191207,1
12773339,20191214,1
12773339,20191221,1
12773337,20191224,1
12773337,20191227,1
12773337,20191231,1
12773338,20191020,1
12773338,20191027,1
12773338,20191102,1
12773338,20191103,1
12773338,20191110,1
12773338,20191111,1
12773338,20191117,1
12773338,20191124,1
12773338,20191201,1
12773338,20191208,1
12773338,20191215,1
12773338,20191222,1
12773338,20191229,1
2773340,20191224,1
2773340,20191227,1
2773340,20191231,1
