from_stop_id,to_stop_id,transfer_type,min_transfer_time
2467,3749688,2,108
2467,3749689,2,212
2313,5138167,2,285
2204,3672269,2,194
2313,5138168,2,216
6591844,2099,2,214
1889,8007439,2,198
1722,4036661,2,196
2313,5138169,2,233
2415,6263542,2,252
2396,7933361,2,277
2416,4459235,2,191
2415,6263540,2,238
2007,7920955,2,208
2415,6263541,2,258
1722,4036660,2,254
1630,7931386,2,258
2467,3749691,2,252
2467,4472774,2,210
2467,3749690,2,210
2467,4472773,2,210
1802,7275539,2,237
1785,7986287,2,210
2313,7176245,2,240
1722,8357914,2,210
1889,7900218,2,198
2467,8357914,2,210
2396,7275543,2,277
2313,7176246,2,240
1889,7900219,2,186
6591545,2050,2,243
1630,4459237,2,238
1889,8007410,2,198
2204,7921151,2,199
2396,7691427,2,268
2467,8135306,2,215
2467,8135307,2,215
2389,7899592,2,234
2396,7714274,2,236
2396,7691433,2,236
2285,7176290,2,198
1766,7170694,2,207
2467,7899182,2,108
2285,5018222,2,198
1802,4024811,2,227
1802,4024810,2,227
2050,6591524,2,243
2415,6263538,2,199
2415,6263539,2,287
2204,7921150,2,242
1766,6591526,2,229
1722,7913218,2,205
1722,7913217,2,214
6591844,2050,2,214
2467,7176249,2,254
1722,7913219,2,203
2285,1890,2,77
2285,8007439,2,198
1949,3672244,2,194
1889,7376290,2,257
1935,4037282,2,220
6591544,2375,2,203
1950,3690050,2,269
1950,3690051,2,269
2416,4036665,2,198
1950,5231599,2,218
6591843,1683,2,196
2467,7176250,2,196
2285,7376290,2,257
1846,5018223,2,249
1722,7991680,2,226
6591548,1766,2,229
2285,8007410,2,198
2204,3672244,2,194
2205,6263536,2,239
1737,5231596,2,252
2205,6263537,2,243
1737,5231597,2,287
2313,2102,2,600
1949,7921150,2,242
1949,7921151,2,199
1738,4023264,2,188
1935,7275546,2,244
1738,4023265,2,188
1935,7275547,2,230
2467,7899121,2,204
2467,7899122,2,205
2376,2527,2,118
2007,7900036,2,208
7653708,1786,2,236
1683,6591451,2,196
1683,6591452,2,220
2260,7932022,2,240
2313,2224140,2,233
2313,2224141,2,233
2205,5231599,2,218
7653706,2396,2,225
1785,7986296,2,226
1950,7932049,2,202
1950,7932048,2,190
1786,7714274,2,236
1950,7932047,2,243
1846,7900286,2,233
1950,7932046,2,228
1889,3749689,2,269
2050,2051,2,93
2341,7275539,2,237
2467,8007409,2,210
3343777,2376,2,180
1722,3749688,2,108
2260,7932241,2,244
2260,4459238,2,244
2260,7932240,2,230
1722,3749689,2,212
1785,7921035,2,226
7653707,2396,2,231
2493,6591452,2,220
2493,6591451,2,196
2467,7946313,2,203
1722,3749690,2,210
1722,3749691,2,252
1722,5158083,2,216
1722,5158082,2,241
1722,5158081,2,226
2044,4017041,2,200
1889,7176290,2,198
2044,4017040,2,270
1846,7176291,2,249
2415,3672266,2,258
3343767,2313,2,180
2467,4473192,2,247
2285,7932277,2,254
2467,4473191,2,215
2467,4473190,2,215
2313,7176291,2,249
2007,8033014,2,208
2510,7931324,2,281
2204,5922171,2,236
2514,5018174,2,216
2514,5018173,2,259
2542,7899990,2,342
2050,7945913,2,243
2196,7931333,2,208
2099,7945913,2,243
2007,7931333,2,208
1935,7176252,2,240
1935,7176253,2,220
2467,7946340,2,242
1722,4036827,2,254
1889,4036750,2,198
2389,3747923,2,256
6591842,1766,2,217
1737,4036625,2,252
2389,3747924,2,252
1737,4036626,2,287
1889,4036751,2,186
2313,7946307,2,222
1722,7921089,2,203
2313,7946306,2,228
1722,7921088,2,242
2313,7946305,2,216
2313,7946304,2,233
2313,7946309,2,249
2467,8167113,2,226
2510,7931386,2,258
6591842,2376,2,217
2313,7946308,2,256
1634,5018173,2,259
1634,5018174,2,216
2313,5018223,2,249
2285,2286,2,86
7653708,2396,2,236
2542,8033012,2,342
2542,8033013,2,307
1935,4472771,2,244
2050,7931338,2,213
1935,4472772,2,230
2050,7931337,2,243
2099,7931338,2,213
2467,4459239,2,226
2285,7176248,2,198
2099,7931337,2,243
2285,7176249,2,257
1738,7714277,2,196
1738,7714278,2,191
3343768,1846,2,180
2396,7933304,2,236
2467,4459240,2,210
1889,7176249,2,257
2099,2051,2,111
1889,7176248,2,198
1722,8135306,2,215
1722,8135307,2,215
2313,8007412,2,234
2313,8007411,2,249
2395,7898916,2,208
2415,5231626,2,258
2415,5231625,2,199
2510,7275551,2,281
1846,7931329,2,249
2285,4036660,2,257
1802,7932272,2,227
1889,5018190,2,257
1802,7932271,2,255
1802,7932273,2,313
1846,7931330,2,234
1802,7932269,2,219
2415,7921145,2,258
1889,5018189,2,198
2205,4036628,2,218
2415,7921146,2,252
2205,4036629,2,191
2376,7899414,2,243
2376,7899415,2,256
2416,7714372,2,195
2376,7899412,2,253
2285,7931328,2,198
2376,7899413,2,207
2416,7714371,2,198
1785,7898951,2,210
1950,4036629,2,191
1950,4036628,2,218
1846,7931331,2,242
2285,4036659,2,186
2204,4146139,2,211
2510,7275545,2,238
2415,4146112,2,252
1766,4037268,2,217
1630,7275551,2,281
2467,7900216,2,186
2467,7900217,2,186
2467,1166841,2,180
2467,1166840,2,180
1722,3893335,2,187
1722,3893336,2,187
1737,3672266,2,258
2285,4459241,2,198
1950,2539,2,61
2415,3690079,2,287
3343778,2376,2,180
1950,6263536,2,239
1950,6263537,2,243
3343767,1846,2,180
2313,2314,2,119
2044,4016758,2,200
2044,4016759,2,270
2467,7275550,2,216
2416,7945932,2,198
1935,4036662,2,230
1738,4677616,2,186
2044,7275540,2,208
1738,4677617,2,186
2099,7275147,2,243
2285,5018190,2,257
2376,7899456,2,217
1630,7275545,2,238
2514,7714272,2,288
1722,7900217,2,186
2514,7714273,2,288
2467,7275549,2,241
2467,7275548,2,226
1785,7898916,2,208
1889,4459241,2,198
1738,7275542,2,198
1738,7275541,2,191
1846,7931380,2,236
1722,7900216,2,186
1846,7931381,2,256
2467,4036749,2,226
2467,4036748,2,196
2467,4036747,2,210
1802,6449023,2,237
2204,3616889,2,204
2204,3616888,2,195
1802,6449024,2,237
2205,1659,2,107
1722,2460,2,480
2542,4036653,2,342
2163,4016759,2,270
2163,4016758,2,200
1779,7899592,2,234
1722,2468,2,220
1722,2469,2,108
2285,7931382,2,186
1765,7931336,2,210
2260,4036745,2,220
2204,4146110,2,211
2396,7946009,2,236
2396,7946008,2,268
2396,7946007,2,257
1802,6449026,2,323
2542,4459247,2,307
2260,4036746,2,240
1889,4036827,2,257
2285,7900219,2,186
2467,7376289,2,193
2285,7900218,2,198
