from_stop_id,to_stop_id,transfer_type,min_transfer_time
7176243,1833,2,277
7899455,2338,2,247
3741095,2235,2,244
1958,2235,2,420
7899175,1900,2,220
7931969,1795,2,273
7946001,2029,2,218
7898918,1788,2,240
7946338,1795,2,275
1675,1674,2,111
1629,7933299,2,281
2086,5018146,2,223
2086,5018147,2,212
7898953,1812,2,246
1910,4035733,2,255
1833,2371,2,72
1629,7933298,2,258
2090,2046,2,120
4037277,1791,2,188
7946097,2120,2,227
2405,7900000,2,199
4035806,1674,2,399
1676,1674,2,236
7899528,2296,2,205
7898916,2394,2,208
4037173,2338,2,210
7911751,2148,2,203
3747967,1978,2,249
6217406,2148,2,191
4045027,1791,2,210
7911764,2405,2,199
1910,4035724,2,244
6591783,2548,2,196
7653703,2179,2,204
7911761,2401,2,210
2212,1910,2,420
4045031,2547,2,201
5158075,1795,2,273
1900,5747225,2,269
1900,5747226,2,205
7898919,1788,2,234
7931349,2087,2,196
7899524,2235,2,255
7986287,1784,2,210
7899609,1812,2,246
4037173,1833,2,210
7898955,2087,2,271
4037216,2029,2,274
4008229,2504,2,208
4035809,2484,2,196
2126,2235,2,360
7899403,2086,2,212
7911767,1707,2,213
1833,7920883,2,247
7946080,2484,2,196
2149,2148,2,89
7911759,2405,2,203
7899555,1674,2,220
6591551,1812,2,211
2494,8357912,2,230
7911751,2029,2,203
2509,4459237,2,238
7911760,2120,2,208
7991791,2235,2,242
1910,7945895,2,255
4037174,1833,2,196
7946078,2484,2,387
7911784,2029,2,190
7931347,2128,2,229
7899555,2484,2,220
7911780,1684,2,204
7376279,1684,2,230
7932276,2452,2,249
7946092,2086,2,229
5231602,1784,2,226
7898913,2128,2,233
7932172,2168,2,249
7275218,2086,2,229
4022898,2029,2,249
2126,1910,2,360
7946002,2148,2,234
4037216,2148,2,274
4037171,1833,2,247
2213,1910,2,420
5138161,2120,2,254
4035807,1674,2,387
1684,3749702,2,207
1835,2338,2,196
7991824,1674,2,402
2090,2096,2,120
2058,3926285,2,224
2297,2296,2,225
2029,5018181,2,275
2029,5018182,2,245
2029,5018183,2,203
7946127,2120,2,208
2058,3926284,2,211
2338,1651,2,138
7911784,2148,2,190
1629,4459237,2,238
7931346,2351,2,246
7946128,2401,2,210
1833,1832,2,72
4211808,2086,2,229
7653718,2179,2,234
7911777,2179,2,242
7911757,2452,2,216
2128,6591530,2,229
7932144,2235,2,255
7911762,2401,2,210
2079,6591530,2,229
4035810,1674,2,274
7899174,2338,2,248
2087,6591531,2,196
7898923,2338,2,256
4022898,2148,2,249
7946002,2029,2,234
4211801,2547,2,212
3747967,2168,2,249
6591552,2128,2,229
2486,1674,2,234
7946098,2405,2,199
1795,4036741,2,273
7898951,2394,2,210
2351,6591529,2,211
2395,2394,2,87
1795,4036742,2,250
1792,2401,2,108
7898955,2548,2,271
4472775,1707,2,233
2077,2235,2,360
3672105,2338,2,277
7898918,2398,2,240
1957,2235,2,420
7898913,2079,2,233
7898953,2351,2,246
7946094,2046,2,195
1684,3749734,2,230
4035809,1674,2,196
2110,2547,2,91
2548,2115,2,132
7911752,2494,2,209
6591553,2087,2,196
6591773,2087,2,214
2548,2066,2,98
2296,5747226,2,205
7898910,2087,2,214
7911762,1791,2,210
2296,5747225,2,269
7898916,1784,2,208
7911753,1989,2,197
1795,7900029,2,203
7899435,2338,2,201
7945938,2029,2,234
1684,4473193,2,207
6217405,2148,2,208
7931968,1795,2,216
7899436,2338,2,201
7931324,2509,2,281
4037280,1795,2,273
7946316,1795,2,250
1902,2296,2,143
7275296,2148,2,274
4036973,2296,2,205
7991823,1674,2,268
7275551,1629,2,281
5138159,2405,2,231
2405,2406,2,125
2494,8357875,2,207
4035808,1674,2,207
2338,2531,2,122
1795,7900000,2,199
5231602,2394,2,226
7946094,2096,2,195
7991821,1910,2,255
7911777,1989,2,242
4037171,2338,2,247
2077,1910,2,360
2235,7945905,2,244
1784,4459268,2,210
6217405,2029,2,208
2402,2401,2,122
7376293,2494,2,207
1684,4473179,2,230
1684,8357912,2,230
1785,1784,2,100
2338,2371,2,89
2087,6591447,2,214
7931324,1629,2,281
2510,1629,2,72
7898919,2398,2,234
7275137,2086,2,212
7946079,2484,2,207
7275296,2029,2,274
7899403,2547,2,212
4045029,2096,2,210
5231621,2394,2,210
7946097,2071,2,227
7911774,1822,2,260
2029,7691432,2,225
2029,7691431,2,225
7931346,1812,2,246
7931368,2548,2,214
2338,7931762,2,247
2338,7931763,2,202
7932024,2405,2,250
7911755,1629,2,251
4035807,2484,2,387
1834,1833,2,90
4472770,2452,2,249
7946337,2405,2,216
7946077,1674,2,399
7931386,1629,2,258
7899610,2079,2,206
7911754,2361,2,213
1958,1910,2,420
2030,2029,2,73
7176399,1833,2,277
6591783,2087,2,196
1910,7945905,2,244
2110,2086,2,91
7946316,2405,2,250
2149,2029,2,81
3813004,2504,2,191
7921086,1795,2,275
2148,2147,2,52
4037280,2405,2,273
1902,1900,2,143
2394,7921035,2,226
1630,2509,2,72
3672170,1833,2,277
7946127,2071,2,208
4035818,1900,2,243
7946077,2484,2,399
7911756,2509,2,238
7911759,1795,2,203
2084,2029,2,145
2485,1674,2,116
7932171,2168,2,234
4035555,2296,2,269
7899404,2547,2,223
2405,7900029,2,203
5138160,1795,2,231
7911765,1795,2,189
7275551,2509,2,281
7176243,2338,2,277
7176400,1833,2,277
2509,7933298,2,258
7921071,2405,2,252
2030,2148,2,59
2509,7933299,2,281
1901,1900,2,235
3813004,1694,2,191
7931942,2401,2,188
4037275,2096,2,195
3741056,1910,2,255
7899527,1674,2,274
4037273,2086,2,229
4037277,2401,2,188
2148,2028,2,60
1834,2338,2,90
7899528,1900,2,205
7991824,2484,2,402
7911754,1822,2,213
2302,2338,2,226
7176400,2338,2,277
4036972,2296,2,269
2084,2148,2,94
5138161,2071,2,254
4037278,2120,2,227
1795,1796,2,75
7911774,2361,2,260
4045025,2405,2,203
7946001,2148,2,218
4045031,2086,2,201
7932242,1707,2,237
4211808,2547,2,229
7921071,1795,2,252
7991821,2235,2,255
7946126,1795,2,203
2120,7899998,2,227
2120,7899999,2,254
4045026,2120,2,208
2338,3926287,2,280
2338,3926289,2,196
2338,3926288,2,210
3741056,2235,2,255
7376293,1684,2,207
2402,1791,2,129
2213,2235,2,420
1833,1651,2,176
2485,2484,2,127
1630,1629,2,72
7899175,2296,2,220
7898914,1812,2,238
7899557,1910,2,242
7899404,2086,2,223
2029,2147,2,64
2494,5018184,2,244
7946128,1791,2,210
1835,1833,2,219
7899436,1833,2,201
7946132,2086,2,201
7932276,1707,2,249
7931968,2405,2,216
2394,4459268,2,210
1795,2406,2,86
1785,2394,2,94
7176399,2338,2,277
8033022,2547,2,212
7911757,1707,2,216
2394,7920992,2,210
3672237,1833,2,277
7911768,2509,2,241
3813005,1694,2,246
2494,5018179,2,230
2547,5018147,2,212
7931969,2405,2,273
4037273,2547,2,229
4037275,2046,2,195
6664353,1833,2,201
7899594,1812,2,211
2547,5018146,2,223
7911763,2120,2,227
1901,2296,2,231
2148,5018182,2,245
2148,5018183,2,203
2087,2115,2,139
2029,2028,2,62
2148,5018181,2,275
1833,7931763,2,202
1833,7931762,2,247
2394,4036631,2,226
2298,1900,2,133
2509,4036663,2,281
2148,7691431,2,225
2148,7691432,2,225
2297,1900,2,229
1684,8357875,2,207
7991823,2484,2,268
7275137,2547,2,212
7899435,1833,2,201
7931942,1791,2,188
3672170,2338,2,277
7932171,1978,2,234
7946096,1791,2,188
2302,1833,2,236
7946338,2405,2,275
7176242,1833,2,277
7899766,2148,2,208
7176242,2338,2,277
7911753,2179,2,197
7932135,2235,2,244
7653718,1989,2,234
4045027,2401,2,210
4035808,2484,2,207
2339,1833,2,90
4035810,2484,2,274
3672262,2338,2,277
1833,7931843,2,247
4008223,2148,2,208
7946098,1795,2,199
1833,7931844,2,202
1684,5018179,2,230
7899610,2128,2,206
3672262,1833,2,277
7932172,1978,2,249
7932242,2452,2,237
3672237,2338,2,277
7714361,2414,2,258
7899527,2484,2,274
1675,2484,2,120
7945938,2148,2,234
3741095,1910,2,244
2148,4035037,2,191
7899765,2029,2,191
3813005,2504,2,246
2148,4035036,2,208
7275545,2509,2,238
7946337,1795,2,216
7898951,1784,2,210
7898910,2548,2,214
2071,7899999,2,254
7899138,1900,2,243
4045029,2046,2,210
2071,7899998,2,227
2545,2029,2,168
5158076,1795,2,250
2235,7945895,2,255
7931348,2087,2,271
2395,1784,2,93
4037278,2071,2,227
7653703,1989,2,204
6591782,2296,2,243
7946096,2401,2,188
1833,7931825,2,219
1833,7931826,2,201
7986287,2394,2,210
7899526,1674,2,268
7991791,1910,2,242
2551,2096,2,120
1629,4036663,2,281
2061,2547,2,104
4008223,2029,2,208
5231621,1784,2,210
2298,2296,2,133
4472770,1707,2,249
6591782,1900,2,243
5138159,1795,2,231
1684,7691430,2,230
7921138,2041,2,216
4008229,1694,2,208
7898914,2351,2,238
7899765,2148,2,191
1812,6591529,2,211
7911761,1791,2,210
7376279,2494,2,230
7899455,1833,2,247
8033022,2086,2,212
7898911,2087,2,196
7898923,1833,2,256
1684,5018184,2,244
2545,2148,2,117
7898911,2548,2,196
7931386,2509,2,258
1676,2484,2,247
6591553,2548,2,196
6591773,2548,2,214
1833,2531,2,149
4008228,1694,2,242
2338,7920883,2,247
2494,4473179,2,230
7899594,2351,2,211
7946078,1674,2,387
6217406,2029,2,191
7946080,1674,2,196
7275545,1629,2,238
4022899,2029,2,274
2494,3749702,2,207
7946130,2096,2,210
1784,7921035,2,226
4037174,2338,2,196
7946000,2148,2,284
7921138,2160,2,216
7911765,2405,2,189
7898924,2338,2,260
7899554,2296,2,269
2548,6591531,2,196
4472775,2452,2,233
7932144,1910,2,255
7911780,2494,2,204
2494,3749734,2,230
4037279,2405,2,216
4035818,2296,2,243
6664353,2338,2,201
4035555,1900,2,269
2494,4473193,2,207
7931348,2548,2,271
7275297,2029,2,249
2212,2235,2,420
7714360,1736,2,210
2339,2338,2,90
4008222,2148,2,191
2510,2509,2,72
7931347,2079,2,229
7911764,1795,2,199
6591552,2079,2,229
4035556,2296,2,205
7899173,2338,2,272
7911760,2071,2,208
7911756,1629,2,238
2551,2046,2,120
7946132,2547,2,201
7986296,1784,2,226
1957,1910,2,420
2029,4035037,2,191
2029,4035036,2,208
7931349,2548,2,196
7899766,2029,2,208
7986296,2394,2,226
7911763,2071,2,227
7946000,2029,2,284
4035806,2484,2,399
1792,1791,2,114
4008222,2029,2,191
7275218,2547,2,229
2107,3926284,2,211
7946079,1674,2,207
2107,3926285,2,224
7932024,1795,2,250
7931368,2087,2,214
7898954,2128,2,229
1784,7920992,2,210
2061,2086,2,104
2235,4035733,2,255
7275297,2148,2,249
7899174,1833,2,248
4022899,2148,2,274
2338,7931825,2,219
2338,1832,2,74
2338,7931826,2,201
7899557,2235,2,242
2548,6591447,2,214
7899554,1900,2,269
6591551,2351,2,211
2405,4036741,2,273
2405,4036742,2,250
7946126,2405,2,203
7921137,2041,2,282
7899526,2484,2,268
2235,4035724,2,244
2338,7920859,2,201
2338,7920857,2,196
2338,7920858,2,210
4045026,2071,2,208
4211801,2086,2,212
4036972,1900,2,269
4035556,1900,2,205
7898954,2079,2,229
4037215,2148,2,249
2486,2484,2,245
5138160,2405,2,231
7911755,2509,2,251
1833,7920857,2,196
7946130,2046,2,210
7899138,2296,2,243
7899434,1833,2,189
1833,7920858,2,210
4036973,1900,2,205
1784,4036631,2,226
1833,7920859,2,201
6591839,2548,2,214
7921086,2405,2,275
4045025,1795,2,203
4008228,2504,2,242
2338,7931843,2,247
7932135,1910,2,244
7899434,2338,2,189
2338,7931844,2,202
7714361,1736,2,258
2494,7691430,2,230
7921137,2160,2,282
5158076,2405,2,250
7714360,2414,2,210
2087,2066,2,95
3672105,1833,2,277
7911768,1629,2,241
7899524,1910,2,255
1833,3926288,2,210
7898924,1833,2,260
1833,3926287,2,280
7899609,2351,2,246
1833,3926289,2,196
7946092,2547,2,229
7911752,1684,2,209
7899173,1833,2,272
2405,1796,2,119
7911767,2452,2,213
4037215,2029,2,249
4037279,1795,2,216
6591839,2087,2,214
5158075,2405,2,273
