service_id,date,exception_type
12773620,20191102,1
12773620,20191111,1
12773621,20191224,1
12773621,20191227,1
12946540,20200101,1
2773630,20191224,1
2773630,20191227,1
12773627,20191019,1
12773627,20191109,1
12773627,20191116,1
12773627,20191123,1
12773627,20191130,1
12773627,20191207,1
12773627,20191214,1
12773627,20191221,1
12773618,20191021,1
12773618,20191028,1
12773618,20191104,1
12773618,20191112,1
12773618,20191118,1
12773618,20191125,1
12773618,20191202,1
12773618,20191209,1
12773618,20191216,1
12773618,20191223,1
12773618,20191226,1
12773618,20191230,1
12773629,20191026,1
12773629,20191101,1
12773624,20191022,1
12773624,20191023,1
12773624,20191024,1
12773624,20191025,1
12773624,20191029,1
12773624,20191030,1
12773624,20191031,1
12773624,20191231,1
12773623,20191017,1
12773623,20191018,1
12773623,20191105,1
12773623,20191106,1
12773623,20191107,1
12773623,20191108,1
12773623,20191113,1
12773623,20191114,1
12773623,20191115,1
12773623,20191119,1
12773623,20191120,1
12773623,20191121,1
12773623,20191122,1
12773623,20191126,1
12773623,20191127,1
12773623,20191128,1
12773623,20191129,1
12773623,20191203,1
12773623,20191204,1
12773623,20191205,1
12773623,20191206,1
12773623,20191210,1
12773623,20191211,1
12773623,20191212,1
12773623,20191213,1
12773623,20191217,1
12773623,20191218,1
12773623,20191219,1
12773623,20191220,1
12773626,20191020,1
12773626,20191027,1
12773626,20191103,1
12773626,20191110,1
12773626,20191117,1
12773626,20191124,1
12773626,20191201,1
12773626,20191208,1
12773626,20191215,1
12773626,20191222,1
12773626,20191229,1
2773629,20191025,1
2773629,20191031,1
2773618,20191020,1
2773618,20191027,1
2773618,20191103,1
2773618,20191111,1
2773618,20191117,1
2773618,20191124,1
2773618,20191201,1
2773618,20191208,1
2773618,20191215,1
2773618,20191222,1
2773618,20191225,1
2773618,20191229,1
2946540,20191231,1
2773623,20191016,1
2773623,20191017,1
2773623,20191104,1
2773623,20191105,1
2773623,20191106,1
2773623,20191107,1
2773623,20191112,1
2773623,20191113,1
2773623,20191114,1
2773623,20191118,1
2773623,20191119,1
2773623,20191120,1
2773623,20191121,1
2773623,20191125,1
2773623,20191126,1
2773623,20191127,1
2773623,20191128,1
2773623,20191202,1
2773623,20191203,1
2773623,20191204,1
2773623,20191205,1
2773623,20191209,1
2773623,20191210,1
2773623,20191211,1
2773623,20191212,1
2773623,20191216,1
2773623,20191217,1
2773623,20191218,1
2773623,20191219,1
2773620,20191101,1
2773620,20191110,1
2773621,20191223,1
2773621,20191226,1
12773630,20191225,1
12773630,20191228,1
2773626,20191019,1
2773626,20191026,1
2773626,20191102,1
2773626,20191109,1
2773626,20191116,1
2773626,20191123,1
2773626,20191130,1
2773626,20191207,1
2773626,20191214,1
2773626,20191221,1
2773626,20191228,1
2773627,20191018,1
2773627,20191108,1
2773627,20191115,1
2773627,20191122,1
2773627,20191129,1
2773627,20191206,1
2773627,20191213,1
2773627,20191220,1
2773624,20191021,1
2773624,20191022,1
2773624,20191023,1
2773624,20191024,1
2773624,20191028,1
2773624,20191029,1
2773624,20191030,1
2773624,20191230,1
