from_stop_id,to_stop_id,transfer_type,min_transfer_time
4211780,2270,2,187
7376288,2469,2,193
7899561,1827,2,218
7945950,2253,2,221
4472773,1724,2,210
3619167,2276,2,312
1724,4035038,2,215
8079716,2469,2,196
4015724,2202,2,213
7931969,1796,2,273
7920949,2366,2,432
1724,4035039,2,215
6904254,1741,2,270
7946338,1796,2,275
7376189,1948,2,181
7945948,2464,2,214
4015727,1947,2,271
7932018,1820,2,227
2469,1715,2,480
1826,1827,2,370
4459240,2469,2,210
5158053,2202,2,200
6741293,140079,2,211
6741293,140078,2,211
7137434,2009,2,256
8219633,2366,2,257
4016039,1872,2,292
7946060,1872,2,210
8357865,2469,2,247
7922541,2275,2,322
7137422,2284,2,225
7260970,2462,2,258
1723,2469,2,149
8007367,1724,2,254
7911764,2406,2,199
1662795,6449043,2,209
8219632,1827,2,224
1662795,6449044,2,192
5761302,1717,2,222
7946397,2372,2,214
1723,1724,2,141
7312150,2224,2,318
7933362,2359,2,225
4799004,2462,2,205
4016608,2270,2,279
4016044,1947,2,191
4016617,2270,2,198
5250730,2268,2,321
7260969,1717,2,207
7376190,1827,2,405
1656,7900003,2,216
7920915,1827,2,254
1656,7900002,2,201
5091987,2270,2,265
7921089,2469,2,203
5158084,2165,2,212
7946113,1872,2,210
8167113,2469,2,226
7899560,2366,2,218
7899563,1827,2,432
3343762,2293,2,180
8007368,2469,2,252
7946100,2536,2,201
4211813,1717,2,258
7899121,1724,2,204
4036739,2536,2,201
7946101,1656,2,216
4045009,2366,2,432
2363,2366,2,289
5158081,1724,2,226
7647742,1741,2,213
7946286,1827,2,460
7991682,1827,2,391
7691418,2268,2,260
2025,7913228,2,210
5018185,2284,2,235
2025,7913227,2,229
7661329,1874,2,265
4016024,1872,2,292
4799005,1717,2,210
7376193,1827,2,399
4037002,2366,2,458
5018192,1724,2,226
3887782,1928,2,243
2025,2544,2,59
2364,1827,2,126
8219633,1827,2,257
7946110,2419,2,234
7932235,1724,2,254
7921076,1748,2,288
7921365,1948,2,271
5018191,1724,2,196
7945981,2253,2,210
7376191,2366,2,218
5158064,2419,2,270
4473147,2366,2,458
4037002,1827,2,458
7945973,2203,2,181
7931746,1724,2,275
7991680,2469,2,226
4472777,2419,2,270
8167106,2419,2,284
6591472,2366,2,460
6591473,1827,2,432
4016798,2202,2,198
7627552,2224,2,274
7920949,1827,2,432
4016617,1874,2,198
2144,7913227,2,229
7275116,1874,2,188
2144,7913228,2,210
7946371,1948,2,264
7931548,2366,2,260
4017047,2268,2,229
7899620,2366,2,458
4036741,1796,2,273
5158045,1662797,2,225
5158045,1662798,2,225
5158063,2419,2,234
7922542,2275,2,309
7921077,2426,2,244
4758934,1741,2,234
3749691,2469,2,252
4472753,2202,2,193
8072695,1662797,2,190
8072695,1662798,2,190
4016616,1959,2,197
7931549,1827,2,391
7946101,2536,2,216
7921089,1724,2,203
8069924,2270,2,188
3749689,1724,2,212
6741426,140078,2,224
7933286,2293,2,234
6741426,140079,2,224
7922555,2366,2,260
4758992,2270,2,256
7931543,1827,2,225
5121373,1827,2,254
4016112,2268,2,221
7900217,1724,2,186
7900216,1724,2,186
7946272,1749,2,220
2009,7900006,2,212
4036731,2419,2,234
1166841,1724,2,180
3343762,1897,2,180
6591475,1827,2,254
7991678,1897,2,234
5761300,1717,2,228
8367275,1928,2,251
7647736,1748,2,234
4211770,2462,2,219
4017011,2270,2,318
4037280,1796,2,273
4037296,2366,2,460
7946316,1796,2,250
3749689,2469,2,212
3893335,1724,2,187
5158071,1656,2,216
7946114,1872,2,321
7899619,2366,2,460
6217417,1724,2,247
2405,2406,2,125
7932237,2469,2,226
7260969,2462,2,207
7932238,1724,2,196
8072696,1662798,2,218
8072696,1662797,2,218
7945978,2366,2,423
