service_id,date,exception_type
12773602,20191225,1
12773602,20191228,1
12773599,20191224,1
12773599,20191227,1
12773601,20191020,1
12773601,20191027,1
12773601,20191103,1
12773601,20191110,1
12773601,20191117,1
12773601,20191124,1
12773601,20191201,1
12773601,20191208,1
12773601,20191215,1
12773601,20191222,1
12773601,20191229,1
12773604,20191026,1
12773604,20191101,1
12773604,20200101,1
12773597,20191022,1
12773597,20191023,1
12773597,20191024,1
12773597,20191025,1
12773597,20191029,1
12773597,20191030,1
12773597,20191031,1
12773597,20191231,1
2773593,20191101,1
2773593,20191110,1
12773598,20191017,1
12773598,20191018,1
12773598,20191105,1
12773598,20191106,1
12773598,20191107,1
12773598,20191108,1
12773598,20191113,1
12773598,20191114,1
12773598,20191115,1
12773598,20191119,1
12773598,20191120,1
12773598,20191121,1
12773598,20191122,1
12773598,20191126,1
12773598,20191127,1
12773598,20191128,1
12773598,20191129,1
12773598,20191203,1
12773598,20191204,1
12773598,20191205,1
12773598,20191206,1
12773598,20191210,1
12773598,20191211,1
12773598,20191212,1
12773598,20191213,1
12773598,20191217,1
12773598,20191218,1
12773598,20191219,1
12773598,20191220,1
12773605,20191019,1
12773605,20191109,1
12773605,20191116,1
12773605,20191123,1
12773605,20191130,1
12773605,20191207,1
12773605,20191214,1
12773605,20191221,1
2773594,20191020,1
2773594,20191027,1
2773594,20191103,1
2773594,20191111,1
2773594,20191117,1
2773594,20191124,1
2773594,20191201,1
2773594,20191208,1
2773594,20191215,1
2773594,20191222,1
2773594,20191225,1
2773594,20191229,1
2773597,20191021,1
2773597,20191022,1
2773597,20191023,1
2773597,20191024,1
2773597,20191028,1
2773597,20191029,1
2773597,20191030,1
2773597,20191230,1
12773593,20191102,1
12773593,20191111,1
12773594,20191021,1
12773594,20191028,1
12773594,20191104,1
12773594,20191112,1
12773594,20191118,1
12773594,20191125,1
12773594,20191202,1
12773594,20191209,1
12773594,20191216,1
12773594,20191223,1
12773594,20191226,1
12773594,20191230,1
2773598,20191016,1
2773598,20191017,1
2773598,20191104,1
2773598,20191105,1
2773598,20191106,1
2773598,20191107,1
2773598,20191112,1
2773598,20191113,1
2773598,20191114,1
2773598,20191118,1
2773598,20191119,1
2773598,20191120,1
2773598,20191121,1
2773598,20191125,1
2773598,20191126,1
2773598,20191127,1
2773598,20191128,1
2773598,20191202,1
2773598,20191203,1
2773598,20191204,1
2773598,20191205,1
2773598,20191209,1
2773598,20191210,1
2773598,20191211,1
2773598,20191212,1
2773598,20191216,1
2773598,20191217,1
2773598,20191218,1
2773598,20191219,1
2773599,20191223,1
2773599,20191226,1
2773604,20191025,1
2773604,20191031,1
2773604,20191231,1
2773605,20191018,1
2773605,20191108,1
2773605,20191115,1
2773605,20191122,1
2773605,20191129,1
2773605,20191206,1
2773605,20191213,1
2773605,20191220,1
2773602,20191224,1
2773602,20191227,1
2773601,20191019,1
2773601,20191026,1
2773601,20191102,1
2773601,20191109,1
2773601,20191116,1
2773601,20191123,1
2773601,20191130,1
2773601,20191207,1
2773601,20191214,1
2773601,20191221,1
2773601,20191228,1
