from_stop_id,to_stop_id,transfer_type,min_transfer_time
7986272,2220,2,246
967988,1647,2,180
2430,1753,2,139
6591535,1682,2,211
7899413,967988,2,207
6591442,1753,2,206
1964,2220,2,400
7899413,967989,2,207
7898907,2436,2,197
7931357,1753,2,204
6640126,1875,2,198
6591785,2266,2,225
7898955,2066,2,271
7986309,2289,2,215
3343777,967989,2,180
7945916,2220,2,245
2377,967988,2,180
2377,967989,2,180
7161643,2220,2,213
7275452,2220,2,266
7275150,2220,2,207
6591836,2492,2,270
6591833,1875,2,198
7922512,1965,2,346
3343778,967988,2,180
3343778,967989,2,180
6591456,1965,2,200
6591840,1963,2,216
6591545,2051,2,243
7921061,2220,2,308
7161644,2220,2,194
6591447,2066,2,214
7931337,2051,2,243
7899985,2220,2,157
4459252,1965,2,246
7932203,2100,2,214
7932206,2220,2,245
7899668,1965,2,284
7899670,1965,2,308
7275453,1965,2,208
8033005,2220,2,314
4037197,1965,2,207
4037196,2289,2,245
7945917,1965,2,200
7931408,2408,2,202
7899533,2408,2,202
4036986,1965,2,189
1967,2220,2,480
6591545,2100,2,243
6591844,2051,2,214
7986311,1965,2,294
7899668,1893,2,215
7931349,2066,2,196
8033003,2220,2,189
7922510,1965,2,152
6251746,1965,2,194
3747965,1963,2,187
7899414,967988,2,243
7899414,967989,2,243
7647746,1753,2,199
6591833,2271,2,198
7899669,2220,2,157
6640126,2271,2,198
7921219,1965,2,282
7931360,2431,2,211
7931461,1682,2,250
7931341,967988,2,204
7647707,1753,2,211
6591773,2066,2,214
7899616,2220,2,245
6591770,2492,2,270
7931341,967989,2,204
7945916,1965,2,245
6591445,2266,2,237
6591772,1758,2,199
2221,2220,2,123
8033002,1965,2,189
7898910,2115,2,214
7921220,1965,2,314
7932040,2431,2,189
6591524,2051,2,243
6591444,2492,2,270
6591838,1758,2,199
7931362,2492,2,270
4037268,967988,2,217
6591536,1875,2,188
7932206,1965,2,245
6591531,2115,2,196
4037268,967989,2,217
2289,1892,2,144
7275450,1965,2,243
4036982,2100,2,243
7899669,1965,2,157
7991690,2436,2,208
7275450,2220,2,243
2548,2115,2,132
4036647,1893,2,226
6575223,2271,2,188
7275147,2100,2,243
2548,2066,2,98
1766,967989,2,180
7931359,1753,2,253
7931342,967988,2,207
1766,967988,2,180
6251745,2220,2,187
