service_id,date,exception_type
2773359,20191020,1
2773359,20191110,1
2773359,20191117,1
2773359,20191124,1
2773359,20191201,1
2773359,20191208,1
2773359,20191215,1
2773359,20191222,1
12773360,20191028,1
12773360,20191104,1
12773360,20191230,1
12773370,20191019,1
12773370,20191109,1
12773370,20191116,1
12773370,20191123,1
12773370,20191130,1
12773370,20191207,1
12773370,20191214,1
12773370,20191221,1
2773368,20191025,1
2773368,20191101,1
2773368,20191227,1
3039902,20191019,1
3039902,20191109,1
13039902,20191020,1
13039902,20191110,1
2946538,20191231,1
2773370,20191018,1
2773370,20191108,1
2773370,20191115,1
2773370,20191122,1
2773370,20191129,1
2773370,20191206,1
2773370,20191213,1
2773370,20191220,1
12773359,20191021,1
12773359,20191111,1
12773359,20191118,1
12773359,20191125,1
12773359,20191202,1
12773359,20191209,1
12773359,20191216,1
12773359,20191223,1
12773366,20191027,1
12773366,20191103,1
12773366,20191229,1
12946538,20200101,1
12773368,20191026,1
12773368,20191102,1
12773368,20191228,1
2773360,20191027,1
2773360,20191103,1
2773360,20191229,1
2773365,20191116,1
2773365,20191123,1
2773365,20191130,1
2773365,20191207,1
2773365,20191214,1
2773365,20191221,1
2773366,20191026,1
2773366,20191102,1
2773366,20191228,1
12773363,20191022,1
12773363,20191023,1
12773363,20191024,1
12773363,20191025,1
12773363,20191029,1
12773363,20191030,1
12773363,20191031,1
12773363,20191101,1
12773363,20191224,1
12773363,20191225,1
12773363,20191226,1
12773363,20191227,1
12773363,20191231,1
12773364,20191017,1
12773364,20191018,1
12773364,20191105,1
12773364,20191106,1
12773364,20191107,1
12773364,20191108,1
12773364,20191112,1
12773364,20191113,1
12773364,20191114,1
12773364,20191115,1
12773364,20191119,1
12773364,20191120,1
12773364,20191121,1
12773364,20191122,1
12773364,20191126,1
12773364,20191127,1
12773364,20191128,1
12773364,20191129,1
12773364,20191203,1
12773364,20191204,1
12773364,20191205,1
12773364,20191206,1
12773364,20191210,1
12773364,20191211,1
12773364,20191212,1
12773364,20191213,1
12773364,20191217,1
12773364,20191218,1
12773364,20191219,1
12773364,20191220,1
2773363,20191021,1
2773363,20191022,1
2773363,20191023,1
2773363,20191024,1
2773363,20191028,1
2773363,20191029,1
2773363,20191030,1
2773363,20191031,1
2773363,20191223,1
2773363,20191224,1
2773363,20191225,1
2773363,20191226,1
2773363,20191230,1
2773364,20191016,1
2773364,20191017,1
2773364,20191104,1
2773364,20191105,1
2773364,20191106,1
2773364,20191107,1
2773364,20191111,1
2773364,20191112,1
2773364,20191113,1
2773364,20191114,1
2773364,20191118,1
2773364,20191119,1
2773364,20191120,1
2773364,20191121,1
2773364,20191125,1
2773364,20191126,1
2773364,20191127,1
2773364,20191128,1
2773364,20191202,1
2773364,20191203,1
2773364,20191204,1
2773364,20191205,1
2773364,20191209,1
2773364,20191210,1
2773364,20191211,1
2773364,20191212,1
2773364,20191216,1
2773364,20191217,1
2773364,20191218,1
2773364,20191219,1
12773365,20191117,1
12773365,20191124,1
12773365,20191201,1
12773365,20191208,1
12773365,20191215,1
12773365,20191222,1
