from_stop_id,to_stop_id,transfer_type,min_transfer_time
4008235,1708,2,245
967988,1647,2,180
4459280,1993,2,270
8321684,2517,2,224
1704,5922218,2,255
7899418,2311,2,235
3812998,2291,2,217
5018190,1890,2,257
3672110,1745,2,219
7931739,1946,2,240
7899412,2527,2,253
7900034,2447,2,199
4037209,1946,2,253
2469,1715,2,480
1723,1715,2,480
4199333,1993,2,268
5018188,1972,2,230
4008247,1814,2,231
8321633,1637,2,194
7931740,1946,2,208
7920959,2488,2,270
7899431,2454,2,198
7986284,1633,2,225
7911789,1637,2,205
3747930,2513,2,226
7933362,2358,2,225
7913278,1884,2,215
8007364,1702,2,215
5121020,2343,2,240
7899434,2531,2,189
7913234,2162,2,272
4037173,2531,2,210
4036981,1678,2,257
7899414,1647,2,243
7900219,2286,2,186
6591509,2549,2,221
6591842,2527,2,217
4037174,1651,2,196
6640123,1873,2,208
7899795,1747,2,284
3687684,2183,2,270
4687322,2425,2,202
7920988,1633,2,194
5419722,2343,2,230
4024982,2343,2,310
8007439,2286,2,198
7920857,2531,2,196
4036827,2286,2,257
5121562,1747,2,189
8321630,1708,2,210
8007367,1890,2,257
3893338,2286,2,186
7899720,2425,2,217
3926277,1745,2,207
4037285,1819,2,212
7931974,2460,2,199
7899412,1647,2,253
2310,2311,2,110
7931375,1678,2,189
7899734,2162,2,225
7275302,1946,2,235
7913221,1890,2,241
7899774,2517,2,216
7913229,1946,2,193
4008919,1804,2,242
3749689,2286,2,269
4036635,1633,2,194
4036619,1993,2,268
7946017,2043,2,205
7920750,2343,2,254
7131598,2549,2,316
7920887,1747,2,284
4008202,1972,2,279
7714337,2425,2,284
1946,1945,2,300
7931383,2460,2,280
7920887,2425,2,284
8367298,2440,2,213
2285,1890,2,77
3681810,2280,2,225
3343776,2488,2,180
4045021,1715,2,240
6591450,1647,2,217
7899166,2278,2,203
3672262,2531,2,270
4037046,2488,2,270
8321714,1895,2,250
7176400,2531,2,270
8033023,1712,2,253
8007439,1890,2,198
7911747,2517,2,216
7986300,2513,2,194
7913279,2280,2,195
3926288,2531,2,210
7899426,2032,2,250
4015761,2280,2,302
4008236,1708,2,236
7170694,2527,2,207
2053,1890,2,250
3343778,1647,2,180
7913273,1747,2,202
3893338,1890,2,186
3690063,2423,2,233
4008944,2343,2,240
8007370,1715,2,243
5121010,2343,2,254
1687,2517,2,96
4199377,2269,2,195
7932163,2527,2,204
5121347,2425,2,284
5121348,1747,2,201
7933364,1730,2,223
