"2371"	"1832"	"2170"	"2062"	"2331"	"2067"	"2544"	"2443"	"1961"	"1864"	"2098"	"2200"	"2383"	"2342"	"1725"	"2154"	"1773"	"1933"	"2155"	"2433"	"2470"	"2147"	"1688"	"1856"	"2429"	"2210"	"2048"	"2258"	"1642"	"2522"	"2216"	"2111"	"2288"	"2116"	"1887"	"1945"	"2283"	"2323"	"1698"	"1980"	"2035"	"2036"	"1755"	"1751"	"1803"	"1892"	"2028"	"2498"	"2083"	"1955"	"2541"	"2350"	"1666"	"2354"	"2500"	"2334"	"2256"	"1661"	"1903"	"1811"	"2193"	"2252"	"2233"	"1908"	"1927"	"2167"	"1818"	"8433"	"1817"	"2018"	"1867"	"2137"	"2346"	"1916"	"1653"	"2241"	"1690"	"2533"	"2207"	"2057"	"2031"	"2005"	"2004"	"2150"	"2026"	"2106"	"1977"	"1952"	"2194"	"2476"	"2299"	"1905"	"2218"	"2066"	"1682"	"967988"	"967989"	"1965"	"2289"	"2115"	"2408"	"1761"	"1963"	"2220"	"2051"	"2266"	"1758"	"2431"	"1753"	"1893"	"2436"	"2100"	"2271"	"2439"	"1798"	"1875"	"2492"	"2402"	"1669"	"1667"	"2336"	"2337"	"2501"	"2392"	"1869"	"1920"	"2309"	"1723"	"2052"	"1938"	"1632"	"2245"	"1720"	"2479"	"1870"	"2156"	"2477"	"2308"	"1826"	"2101"	"3901292"	"3901291"	"2428"	"1686"	"1710"	"2421"	"1906"	"1646"	"2526"	"1782"	"2465"	"1743"	"1886"	"1883"	"2282"	"2468"	"1986"	"2037"	"1984"	"1842"	"2365"	"1841"	"1982"	"2512"	"1691"	"2267"	"2263"	"1792"	"2172"	"2174"	"2176"	"2279"	"1750"	"2496"	"2455"	"2397"	"1969"	"2406"	"2372"	"1928"	"1692060"	"1692061"	"2165"	"1820"	"2202"	"2536"	"2203"	"1724"	"140078"	"140079"	"2144"	"2009"	"1638"	"2293"	"1827"	"1879"	"1872"	"1874"	"1947"	"2426"	"2427"	"1948"	"2359"	"2253"	"1749"	"2214"	"1748"	"1717"	"2462"	"1716"	"2464"	"2461"	"1719"	"1741"	"1880"	"1662795"	"1662796"	"1662797"	"1662798"	"2284"	"1787"	"1858"	"2469"	"1888"	"1959"	"2325"	"2268"	"2366"	"2224"	"1656"	"2518"	"2270"	"2275"	"2276"	"1799"	"2025"	"1897"	"1796"	"2419"	"1166834"	"1166833"	"1166832"	"1166831"	"1166838"	"1166835"	"6129304"	"1166839"	"6129305"	"1166828"	"1166829"	"1166826"	"1166827"	"1166824"	"1166825"	"1166830"	"1166840"	"1166841"	"2338"	"2504"	"2401"	"2235"	"2398"	"1833"	"2405"	"2394"	"1736"	"2547"	"2548"	"2168"	"1629"	"2071"	"2509"	"2484"	"2096"	"1822"	"1674"	"2160"	"2058"	"2107"	"1978"	"2296"	"2148"	"2351"	"2087"	"2086"	"2046"	"1812"	"1684"	"2041"	"1900"	"1788"	"1784"	"1989"	"2079"	"2361"	"2414"	"1694"	"1791"	"2452"	"2120"	"1707"	"2029"	"1910"	"2179"	"2128"	"1795"	"2494"	"2396"	"2542"	"2376"	"2375"	"2395"	"1662"	"1765"	"2163"	"1737"	"1766"	"1738"	"1760"	"1862"	"2099"	"1634"	"2341"	"1722"	"2204"	"2205"	"1630"	"2389"	"1935"	"2007"	"1728"	"1779"	"2471"	"2438"	"2196"	"1949"	"2313"	"2044"	"1683"	"2050"	"1881"	"1889"	"2467"	"1786"	"2285"	"1785"	"2415"	"2416"	"1846"	"2329"	"2510"	"1802"	"2514"	"2260"	"2277"	"1950"	"2493"	"2463"	"1783"	"1718"	"2393"	"1752"	"2430"	"2539"	"1659"	"1668"	"2374"	"2502"	"2230"	"1735"	"1733"	"1731"	"1764"	"2442"	"1964"	"2487"	"1824"	"1677"	"1721"	"2208"	"2535"	"1934"	"2478"	"2152"	"2061"	"1729"	"2153"	"2472"	"1975"	"1828"	"2159"	"2212"	"1855"	"2312"	"2259"	"1996"	"2420"	"2219"	"2040"	"1645"	"2525"	"2185"	"1742"	"2110"	"2466"	"1845"	"1957"	"2411"	"4028974"	"2363"	"4028973"	"2413"	"2033"	"2034"	"2367"	"1655"	"1692"	"2322"	"1953"	"2377"	"2403"	"2089"	"2424"	"2257"	"1641"	"2521"	"2063"	"2310"	"2213"	"1746"	"1922"	"2072"	"2164"	"2112"	"2017"	"1901"	"1767"	"2445"	"2287"	"2485"	"2136"	"2247"	"1843"	"1958"	"2382"	"1675"	"2076"	"2206"	"1700"	"1759"	"1932"	"1793"	"2121"	"1891"	"2008"	"1951"	"2125"	"2294"	"2297"	"1898"	"2550"	"2437"	"1772"	"2399"	"2339"	"1665"	"1834"	"2404"	"2065"	"2068"	"2234"	"2069"	"2543"	"1926"	"2135"	"1763"	"1836"	"2409"	"1962"	"2537"	"1930"	"1825"	"2390"	"2391"	"2475"	"1974"	"2303"	"2149"	"1687"	"1997"	"1640"	"2520"	"2524"	"1644"	"2255"	"2217"	"2251"	"1909"	"2186"	"1781"	"1780"	"2016"	"2117"	"2094"	"1789"	"2114"	"2118"	"1987"	"2364"	"2073"	"2229"	"1657"	"2030"	"1794"	"2122"	"2177"	"2497"	"2081"	"2082"	"2506"	"2505"	"2400"	"2236"	"2373"	"1734"	"2546"	"1925"	"2232"	"2134"	"1860"	"1966"	"2139"	"2448"	"2486"	"2345"	"2347"	"2384"	"1676"	"2344"	"2055"	"2209"	"1774"	"1871"	"1639"	"2104"	"2199"	"1876"	"2435"	"1971"	"2301"	"2314"	"1854"	"1685"	"2422"	"2316"	"2085"	"1907"	"1648"	"2528"	"2250"	"1681"	"1744"	"1649"	"2529"	"1740"	"2015"	"2093"	"1944"	"2221"	"1696"	"2418"	"2327"	"1985"	"2412"	"1800"	"2226"	"1703"	"1695"	"2321"	"1808"	"2519"	"1757"	"2175"	"1911"	"1806"	"1790"	"1805"	"2080"	"2495"	"1847"	"2272"	"2491"	"1849"	"2020"	"1954"	"2328"	"2075"	"1902"	"1635"	"2191"	"1756"	"2132"	"2124"	"2013"	"2434"	"2298"	"1861"	"2002"	"1797"	"3343752"	"3343792"	"3343791"	"3343790"	"3343796"	"3343795"	"3343794"	"3343793"	"3343799"	"3343797"	"3343798"	"3343756"	"3343755"	"3343754"	"3343753"	"3343759"	"3343758"	"3343757"	"3343825"	"3343781"	"3343780"	"3343783"	"3343782"	"3343785"	"3343784"	"3343786"	"3343787"	"3343788"	"3343789"	"3343746"	"3343773"	"3343774"	"3343771"	"3343772"	"3343770"	"3343801"	"3343802"	"3343803"	"3343804"	"3343800"	"3343809"	"3343779"	"3343778"	"3343805"	"3343777"	"3343806"	"3343776"	"3343807"	"3343775"	"3343808"	"3343760"	"3343761"	"3343762"	"3343763"	"3343334"	"3343814"	"3343815"	"3343812"	"3343339"	"3343813"	"3343338"	"3343810"	"3343337"	"3343811"	"3343336"	"3343335"	"3343769"	"3343768"	"3343765"	"3343818"	"3343764"	"3343819"	"3343767"	"3343816"	"3343766"	"3343817"	"2549"	"1730"	"2488"	"1762"	"2133"	"2441"	"2440"	"2162"	"2447"	"2449"	"1678"	"2531"	"2201"	"2343"	"1637"	"2242"	"1936"	"1633"	"2151"	"2295"	"2001"	"1873"	"1972"	"2291"	"1946"	"2088"	"2355"	"2425"	"1993"	"2353"	"2423"	"2358"	"2527"	"1647"	"1714"	"2043"	"2311"	"1712"	"2190"	"1747"	"1715"	"1819"	"2183"	"1745"	"1816"	"1882"	"2460"	"1814"	"2014"	"2286"	"1884"	"1844"	"2280"	"2269"	"1651"	"2513"	"2261"	"1917"	"2517"	"2227"	"1702"	"2032"	"1704"	"2454"	"2453"	"1890"	"1804"	"1708"	"1709"	"1895"	"2278"	"2459"	"2457"	"1899"
"2371"	""	"meme_ligne"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1832"	"meme_ligne"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller"	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Retour"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"meme_ligne"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller"	""	""	"meme_ligne"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Retour"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"transfer"	""	"transfer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2331"	""	""	""	""	""	""	""	""	""	"meme_ligne"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2067"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"meme_ligne"	""	""	""	""	""	""	"(CHATEAU DE VINCENNES <-> LA DEFENSE) - Retour"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
