"trip_id"	"stop_id"	"arrival_time"	"departure_time"	"stop_sequence"	"stop_name"	"stop_desc"	"stop_lat"	"stop_lon"	"route_id"	"service_id"	"route_short_name"	"route_long_name"	"route_color"
10027733591652932	2269	"15:26:00"	"15:26:00"	1	"Mairie de Montreuil"	"Place Jean Jaurès - 93048"	48.862280986339	2.44182767912771	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2183	"15:28:00"	"15:28:00"	2	"Croix-de-Chavaux (Jacques Duclos)"	"Rue de Paris - 93048"	48.857999073258	2.43586689567471	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2449	"15:29:00"	"15:29:00"	3	"Robespierre"	"185 rue de Paris - 93048"	48.8556808081969	2.42365908548302	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2423	"15:31:00"	"15:31:00"	4	"Porte de Montreuil"	"Rue d'Avron - 75120"	48.8533798778138	2.41045818741635	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2278	"15:32:00"	"15:32:00"	5	"Maraîchers"	"67 bis rue des Pyrénées - 75120"	48.8526004024001	2.40638498956614	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2133	"15:33:00"	"15:33:00"	6	"Buzenval"	"51 rue de Buzenval - 75120"	48.8517674745052	2.40118148387264	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2531	"15:35:00"	"15:35:00"	7	"Nation"	"Terre-plein face au 3 place de la Nation - 75112"	48.8490101536482	2.39766461279101	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2454	"15:36:00"	"15:36:00"	8	"Rue des Boulets"	"232 boulevard Voltaire - 75111"	48.8522227131835	2.38911565092719	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2151	"15:38:00"	"15:38:00"	9	"Charonne"	"188 boulevard Voltaire - 75111"	48.8546420474448	2.38503219333483	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2513	"15:39:00"	"15:39:00"	10	"Voltaire (Léon Blum)"	"Boulevard Voltaire - 75111"	48.8576637257601	2.38003629679551	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2459	"15:40:00"	"15:40:00"	11	"Saint-Ambroise"	"86 boulevard Voltaire - 75111"	48.8616474242993	2.3731471407723	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2311	"15:42:00"	"15:42:00"	12	"Oberkampf"	"43 boulevard Voltaire - 75111"	48.8649742906337	2.36763241156394	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2527	"15:43:00"	"15:43:00"	13	"République"	"Av de la République - 75111"	48.8674108288354	2.36358782555805	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2488	"15:45:00"	"15:45:00"	14	"Strasbourg-Saint-Denis"	"Porte Saint-Martin - 75102"	48.8692279309876	2.35452917538582	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2190	"15:46:00"	"15:46:00"	15	"Bonne Nouvelle"	"Boulevard de Bonne Nouvelle - 75109"	48.870495832331	2.3488621174406	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2457	"15:47:00"	"15:47:00"	16	"Grands Boulevards"	"Musée Grévin - 75109"	48.8715118170782	2.34320837754486	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2447	"15:48:00"	"15:48:00"	17	"Richelieu-Drouot"	"Rue Marivaux - 75109"	48.8720961237898	2.33932555585643	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2227	"15:49:00"	"15:49:00"	18	"Chaussée d'Antin (La Fayette)"	"Rue La Fayette - 75109"	48.8728599894126	2.33304475092692	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
10027733591652932	2286	"15:51:00"	"15:51:00"	19	"Havre-Caumartin"	"bd Haussmann - 75109"	48.8734259765349	2.32897097329656	1419804	2773359	9	"(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour"	"FFFFFF"
